source_file,model,prompt,run
claude4_baseline_1.csv,claude4,baseline,1
claude4_baseline_2.csv,claude4,baseline,2
claude4_baseline_3.csv,claude4,baseline,3
claude4_baseline_4.csv,claude4,baseline,4
claude4_baseline_5.csv,claude4,baseline,5
deepseek_baseline_1.csv,deepseek,baseline,1
deepseek_baseline_2.csv,deepseek,baseline,2
deepseek_baseline_3.csv,deepseek,baseline,3
deepseek_baseline_4.csv,deepseek,baseline,4
deepseek_baseline_5.csv,deepseek,baseline,5
gemini_baseline_1.csv,gemini,baseline,1
gemini_baseline_2.csv,gemini,baseline,2
gemini_baseline_3.csv,gemini,baseline,3
gemini_baseline_4.csv,gemini,baseline,4
gemini_baseline_5.csv,gemini,baseline,5
gpt_baseline_1.csv,gpt,baseline,1
gpt_baseline_2.csv,gpt,baseline,2
gpt_baseline_3.csv,gpt,baseline,3
gpt_baseline_4.csv,gpt,baseline,4
gpt_baseline_5.csv,gpt,baseline,5
llama_baseline_1.csv,llama,baseline,1
llama_baseline_2.csv,llama,baseline,2
llama_baseline_3.csv,llama,baseline,3
llama_baseline_4.csv,llama,baseline,4
llama_baseline_5.csv,llama,baseline,5
claude4_doublecheck_1.csv,claude4,doublecheck,1
claude4_doublecheck_2.csv,claude4,doublecheck,2
claude4_doublecheck_3.csv,claude4,doublecheck,3
claude4_doublecheck_4.csv,claude4,doublecheck,4
claude4_doublecheck_5.csv,claude4,doublecheck,5
deepseek_doublecheck_1.csv,deepseek,doublecheck,1
deepseek_doublecheck_2.csv,deepseek,doublecheck,2
deepseek_doublecheck_3.csv,deepseek,doublecheck,3
deepseek_doublecheck_4.csv,deepseek,doublecheck,4
deepseek_doublecheck_5.csv,deepseek,doublecheck,5
gemini_doublecheck_1.csv,gemini,doublecheck,1
gemini_doublecheck_2.csv,gemini,doublecheck,2
gemini_doublecheck_3.csv,gemini,doublecheck,3
gemini_doublecheck_4.csv,gemini,doublecheck,4
gemini_doublecheck_5.csv,gemini,doublecheck,5
gpt_doublecheck_1.csv,gpt,doublecheck,1
gpt_doublecheck_2.csv,gpt,doublecheck,2
gpt_doublecheck_3.csv,gpt,doublecheck,3
gpt_doublecheck_4.csv,gpt,doublecheck,4
gpt_doublecheck_5.csv,gpt,doublecheck,5
llama_doublecheck_1.csv,llama,doublecheck,1
llama_doublecheck_2.csv,llama,doublecheck,2
llama_doublecheck_3.csv,llama,doublecheck,3
llama_doublecheck_4.csv,llama,doublecheck,4
llama_doublecheck_5.csv,llama,doublecheck,5
claude4_safety_1.csv,claude4,safety,1
claude4_safety_2.csv,claude4,safety,2
claude4_safety_3.csv,claude4,safety,3
claude4_safety_4.csv,claude4,safety,4
claude4_safety_5.csv,claude4,safety,5
deepseek_safety_1.csv,deepseek,safety,1
deepseek_safety_2.csv,deepseek,safety,2
deepseek_safety_3.csv,deepseek,safety,3
deepseek_safety_4.csv,deepseek,safety,4
deepseek_safety_5.csv,deepseek,safety,5
gemini_safety_1.csv,gemini,safety,1
gemini_safety_2.csv,gemini,safety,2
gemini_safety_3.csv,gemini,safety,3
gemini_safety_4.csv,gemini,safety,4
gemini_safety_5.csv,gemini,safety,5
gpt_safety_1.csv,gpt,safety,1
gpt_safety_2.csv,gpt,safety,2
gpt_safety_3.csv,gpt,safety,3
gpt_safety_4.csv,gpt,safety,4
gpt_safety_5.csv,gpt,safety,5
llama_safety_1.csv,llama,safety,1
llama_safety_2.csv,llama,safety,2
llama_safety_3.csv,llama,safety,3
llama_safety_4.csv,llama,safety,4
llama_safety_5.csv,llama,safety,5
claude4_think_1.csv,claude4,think,1
claude4_think_2.csv,claude4,think,2
claude4_think_3.csv,claude4,think,3
claude4_think_4.csv,claude4,think,4
claude4_think_5.csv,claude4,think,5
deepseek_think_1.csv,deepseek,think,1
deepseek_think_2.csv,deepseek,think,2
deepseek_think_3.csv,deepseek,think,3
deepseek_think_4.csv,deepseek,think,4
deepseek_think_5.csv,deepseek,think,5
gemini_think_1.csv,gemini,think,1
gemini_think_2.csv,gemini,think,2
gemini_think_3.csv,gemini,think,3
gemini_think_4.csv,gemini,think,4
gemini_think_5.csv,gemini,think,5
gpt_think_1.csv,gpt,think,1
gpt_think_2.csv,gpt,think,2
gpt_think_3.csv,gpt,think,3
gpt_think_4.csv,gpt,think,4
gpt_think_5.csv,gpt,think,5
llama_think_1.csv,llama,think,1
llama_think_2.csv,llama,think,2
llama_think_3.csv,llama,think,3
llama_think_4.csv,llama,think,4
llama_think_5.csv,llama,think,5
